Sample,Input_Size,Percent_PostTrim,Num_Uniquely_Aligned,Percent_Uniquely_Aligned,Percent_Exonic,Num_Uniquely_Aligned_rRNA,Percent_Overrepresented_Seq_Untrimmed,Percent_Adapter_Content_Untrimmed,Percent_Overrepresented_Seq_Trimmed,Percent_Adapter_Content_Trimmed,Project,Batch
RNA_B06_01,22123944,99.32,1449253,6.6,49.89,231209,0,1.657,0,0.046,script_rnaseq_batch_06,batch_06
RNA_B06_02,22328924,99.28,11627885,52.46,65.13,1429158,0.56,1.599,0.41,0.052,script_rnaseq_batch_06,batch_06
RNA_B06_03,22934328,99.06,8125822,35.77,59.47,1177171,0.12,2.532,0,0.076,script_rnaseq_batch_06,batch_06
RNA_B06_04,22327351,99.04,10709387,48.43,58.88,2043064,0.98,2.806,0.55,0.08,script_rnaseq_batch_06,batch_06
RNA_B06_05,20575503,99.36,7098196,34.72,60.28,1131998,0.24,1.699,0.21,0.051,script_rnaseq_batch_06,batch_06
RNA_B06_06,22346735,99.18,7332988,33.09,58.14,1780939,0.54,2.456,0.37,0.073,script_rnaseq_batch_06,batch_06
RNA_B06_07,21953580,99.34,3325180,15.25,52.65,753180,0,2.612,0,0.085,script_rnaseq_batch_06,batch_06
RNA_B06_08,20129358,99.28,6705714,33.55,60.41,1458471,0.57,2.509,0.39,0.073,script_rnaseq_batch_06,batch_06
RNA_B06_09,20194289,99.3,7953068,39.66,56.99,1759284,0.47,2.344,0.29,0.067,script_rnaseq_batch_06,batch_06
RNA_B06_10,20370559,99.29,6847235,33.86,59.62,1314902,0.26,2.513,0.21,0.074,script_rnaseq_batch_06,batch_06
RNA_B06_11,21764119,98.99,10941134,50.78,57.32,2692586,1.35,2.912,0.91,0.086,script_rnaseq_batch_06,batch_06
RNA_B06_12,19544562,98.12,582077,3.04,0.89,479163,0.22,5.211,0.1,0.149,script_rnaseq_batch_06,batch_06
RNA_B06_13,19454752,97.11,622690,3.3,1.23,465164,0.11,7.043,0,0.204,script_rnaseq_batch_06,batch_06
RNA_B06_14,18297269,98.54,3057186,16.96,47.75,792496,0,5.132,0,0.132,script_rnaseq_batch_06,batch_06
RNA_B06_15,21824830,99.2,12254394,56.6,60.16,2298683,1.7,2.127,0.82,0.061,script_rnaseq_batch_06,batch_06
RNA_B06_16,17823548,99.26,5061363,28.61,53.54,1025395,0.11,2.494,0,0.065,script_rnaseq_batch_06,batch_06
RNA_B06_17,19858055,99.94,3416450,17.22,56.86,503887,0,0.352,0,0.014,script_rnaseq_batch_06,batch_06
RNA_B06_18,19883208,99.91,5707570,28.73,62.08,973793,0,0.545,0,0.022,script_rnaseq_batch_06,batch_06
RNA_B06_19,19444472,99.93,6842310,35.21,63.42,901483,0.11,0.373,0.1,0.015,script_rnaseq_batch_06,batch_06
RNA_B06_20,17640316,99.81,1824155,10.36,50.81,385878,0,1.143,0,0.043,script_rnaseq_batch_06,batch_06
RNA_B06_21,18789979,99.89,2158651,11.5,50.74,380174,0,0.698,0,0.025,script_rnaseq_batch_06,batch_06
RNA_B06_22,19321244,99.9,2719800,14.09,56.72,441088,0,0.614,0,0.021,script_rnaseq_batch_06,batch_06
RNA_B06_23,21558513,99.85,6982438,32.44,61.76,1250022,0.24,0.825,0.11,0.028,script_rnaseq_batch_06,batch_06
RNA_B06_24,23049445,99.95,17877489,77.6,52,1225864,0.14,0.365,0.11,0.015,script_rnaseq_batch_06,batch_06
