Sample	Input_Size	Percent_PostTrim	Num_Uniquely_Aligned	Percent_Uniquely_Aligned	Percent_Exonic	Num_Uniquely_Aligned_rRNA	Percent_Overrepresented_Seq_Untrimmed	Percent_Adapter_Content_Untrimmed	Percent_Overrepresented_Seq_Trimmed	Percent_Adapter_Content_Trimmed	Project	Batch
RNA_B01_01	13458264	92.03	2096032	16.92	40.37	768137	1.24	19.977	0	0.368	script_rnaseq_batch_01	batch_01
RNA_B01_02	17001998	80.08	7466677	54.84	39.25	3515690	8.19	28.991	0.81	1.234	script_rnaseq_batch_01	batch_01
RNA_B01_03	19675075	99.27	6831593	34.98	50.2	1871554	0.64	3.942	0.28	0.122	script_rnaseq_batch_01	batch_01
RNA_B01_04	14605871	65.31	4918826	51.56	36.32	2105290	16.43	41.657	2.13	2.342	script_rnaseq_batch_01	batch_01
RNA_B01_05	16537779	83.46	7326697	53.08	34.99	3962023	5.92	28.487	0.78	0.9	script_rnaseq_batch_01	batch_01
RNA_B01_06	18812689	99.61	11077659	59.11	64.13	1952601	1.35	2.143	1	0.07	script_rnaseq_batch_01	batch_01
RNA_B01_07	18650479	97.69	2314390	12.7	41.99	663120	0	9.679	0	0.185	script_rnaseq_batch_01	batch_01
RNA_B01_08	15019507	82.69	7025549	56.57	41.3	3101904	7.03	24.729	0.99	1.152	script_rnaseq_batch_01	batch_01
RNA_B01_09	15268064	96.91	10207418	68.99	64.24	2210795	1.12	5.659	0.61	0.182	script_rnaseq_batch_01	batch_01
RNA_B01_10	16434059	99.08	7787624	47.83	61.37	1710255	0.67	3.58	0.47	0.093	script_rnaseq_batch_01	batch_01
RNA_B01_11	19883412	97.06	13605101	70.5	62.52	2988231	0.78	7.377	0.46	0.179	script_rnaseq_batch_01	batch_01
RNA_B01_12	17699319	91.85	10786841	66.35	55.4	2780722	2.22	13.367	0.6	0.376	script_rnaseq_batch_01	batch_01
RNA_B01_13	15615657	92.88	8985729	61.95	57.48	2236312	2.47	10.61	0.78	0.358	script_rnaseq_batch_01	batch_01
RNA_B01_14	21553137	98.34	3974286	18.75	60.59	802117	0	4.7	0	0.098	script_rnaseq_batch_01	batch_01
RNA_B01_15	20237162	95.15	12451898	64.67	58.32	3749498	1.52	10.62	1.02	0.232	script_rnaseq_batch_01	batch_01
RNA_B01_16	17024073	88.16	9156978	61.01	55.06	2982247	4.17	15.782	0.82	0.511	script_rnaseq_batch_01	batch_01
RNA_B01_17	17480242	99.43	12273420	70.61	63.2	1793012	1.39	1.452	0.93	0.059	script_rnaseq_batch_01	batch_01
RNA_B01_18	16896127	96.16	10330782	63.58	58.05	2778139	1.7	7.136	1.03	0.254	script_rnaseq_batch_01	batch_01
RNA_B01_19	21992858	97.99	13745109	63.78	57.83	3583503	1.5	5.169	0.85	0.172	script_rnaseq_batch_01	batch_01
RNA_B01_20	31505960	99.54	22073131	70.38	65.86	3251605	1.63	1.476	0.86	0.052	script_rnaseq_batch_01	batch_01
RNA_B01_21	20637726	99.67	13830941	67.24	61.24	1826650	0.73	1.503	0.41	0.049	script_rnaseq_batch_01	batch_01
RNA_B01_22	18437150	99.46	12376192	67.49	60.4	2142791	1.97	1.453	1.03	0.055	script_rnaseq_batch_01	batch_01
RNA_B01_23	26935623	99.52	18349320	68.45	61.83	3245627	1.09	2.7	0.81	0.059	script_rnaseq_batch_01	batch_01
RNA_B01_24	20324338	99.31	15359516	76.1	51.13	1709125	0.4	2.463	0.27	0.078	script_rnaseq_batch_01	batch_01
