Sample,Input_Size,Percent_PostTrim,Num_Uniquely_Aligned,Percent_Uniquely_Aligned,Percent_Exonic,Num_Uniquely_Aligned_rRNA,Percent_Overrepresented_Seq_Untrimmed,Percent_Adapter_Content_Untrimmed,Percent_Overrepresented_Seq_Trimmed,Percent_Adapter_Content_Trimmed,Project,Batch
RNA_B07_01,18037188,99.86,6683460,37.11,57.72,1244669,0.3,0.867,0.27,0.034,script_rnaseq_batch_07,batch_07
RNA_B07_02,18837347,99.84,2876218,15.29,53.5,471412,0,1.098,0,0.038,script_rnaseq_batch_07,batch_07
RNA_B07_03,18761110,99.79,5788799,30.92,61.52,1076606,0.24,1.304,0.22,0.043,script_rnaseq_batch_07,batch_07
RNA_B07_04,17329122,99.81,5102312,29.5,47.1,1910759,0.54,0.849,0.4,0.035,script_rnaseq_batch_07,batch_07
RNA_B07_05,16649853,99.72,2276369,13.71,55.56,473154,0,1.661,0,0.056,script_rnaseq_batch_07,batch_07
RNA_B07_06,16342673,99.78,7934575,48.66,60.28,1518889,0.82,1.408,0.54,0.05,script_rnaseq_batch_07,batch_07
RNA_B07_07,14615776,99.87,1284231,8.8,43.17,231165,0,1.064,0,0.044,script_rnaseq_batch_07,batch_07
RNA_B07_08,17332721,99.82,7825434,45.23,53.24,1575263,0.59,1.263,0.44,0.05,script_rnaseq_batch_07,batch_07
RNA_B07_09,17923034,99.89,2269745,12.68,57.43,503990,0,0.823,0,0.034,script_rnaseq_batch_07,batch_07
RNA_B07_10,19868716,99.88,6775969,34.14,51.16,862607,0,0.767,0,0.033,script_rnaseq_batch_07,batch_07
RNA_B07_11,16998055,99.89,7413905,43.66,55.65,1256778,0.29,1.092,0.26,0.046,script_rnaseq_batch_07,batch_07
RNA_B07_12,17346339,99.92,5016085,28.94,57.76,755109,0,0.685,0,0.028,script_rnaseq_batch_07,batch_07
RNA_B07_13,16370873,99.89,4725664,28.9,57.77,895376,0.26,0.77,0.24,0.031,script_rnaseq_batch_07,batch_07
RNA_B07_14,21518532,99.9,11747994,54.65,63.4,1932211,1.14,0.668,0.66,0.028,script_rnaseq_batch_07,batch_07
RNA_B07_15,17623711,99.88,10506571,59.69,60.8,1761535,1.34,0.867,0.79,0.037,script_rnaseq_batch_07,batch_07
RNA_B07_16,15303863,99.85,7600086,49.73,62.19,1520558,1.27,0.975,0.81,0.041,script_rnaseq_batch_07,batch_07
RNA_B07_17,20642325,99.95,11124012,53.92,56.13,1242898,0.75,0.352,0.3,0.015,script_rnaseq_batch_07,batch_07
RNA_B07_18,23453176,99.95,12856961,54.85,60.25,1663585,0.78,0.354,0.31,0.016,script_rnaseq_batch_07,batch_07
RNA_B07_19,18551479,99.92,10105161,54.51,65.27,1687999,1.62,0.554,1,0.024,script_rnaseq_batch_07,batch_07
RNA_B07_20,18172128,99.95,4934639,27.17,49.95,525525,0,0.392,0,0.017,script_rnaseq_batch_07,batch_07
RNA_B07_21,18178906,99.95,6050869,33.3,57.5,753337,0,0.446,0,0.019,script_rnaseq_batch_07,batch_07
RNA_B07_22,17513678,99.95,2760339,15.77,63,397799,0,0.459,0,0.018,script_rnaseq_batch_07,batch_07
RNA_B07_23,16733815,99.95,5325904,31.84,60.71,612908,0.11,0.389,0.11,0.015,script_rnaseq_batch_07,batch_07
RNA_B07_24,15632025,99.96,12141429,77.7,53.31,671325,0.14,0.222,0.13,0.012,script_rnaseq_batch_07,batch_07
