Sample,Input_Size,Percent_PostTrim,Num_Uniquely_Aligned,Percent_Uniquely_Aligned,Percent_Exonic,Num_Uniquely_Aligned_rRNA,Percent_Overrepresented_Seq_Untrimmed,Percent_Adapter_Content_Untrimmed,Percent_Overrepresented_Seq_Trimmed,Percent_Adapter_Content_Trimmed,Project,Batch
RNA_B10_01,20793459,99.73,12528695,60.42,68.36,2129699,1.69,0.941,1.16,0.04,script_rnaseq_batch_10,batch_10
RNA_B10_02,20601094,99.74,10845263,52.78,66.23,1648785,1.4,0.802,0.83,0.035,script_rnaseq_batch_10,batch_10
RNA_B10_03,18916272,98.92,10660283,56.97,66.35,2088193,1.8,1.474,1.36,0.103,script_rnaseq_batch_10,batch_10
RNA_B10_04,19429851,99.56,11455489,59.22,64.86,1922156,1.94,0.871,1.65,0.048,script_rnaseq_batch_10,batch_10
RNA_B10_05,19341636,98.49,12749524,66.93,61.71,2026345,1.25,2.12,0.82,0.155,script_rnaseq_batch_10,batch_10
RNA_B10_06,18637367,99.73,10287989,55.35,65.55,1766788,1.6,0.886,1.02,0.039,script_rnaseq_batch_10,batch_10
RNA_B10_07,17476201,99.29,11812620,68.07,54.43,1415221,1.16,1.352,0.47,0.068,script_rnaseq_batch_10,batch_10
RNA_B10_08,16985662,99.51,11612591,68.7,54.18,1538915,1,0.853,0.68,0.056,script_rnaseq_batch_10,batch_10
RNA_B10_09,16865522,99.42,10062454,60.01,54.52,2094328,1.05,1.716,0.86,0.075,script_rnaseq_batch_10,batch_10
RNA_B10_10,18906630,99.07,11846816,63.25,60.09,2331295,1.62,1.949,1.18,0.083,script_rnaseq_batch_10,batch_10
RNA_B10_11,19260050,99.06,11027358,57.8,61.15,1312536,0.28,1.744,0.26,0.066,script_rnaseq_batch_10,batch_10
RNA_B10_12,16162460,95.39,9484353,61.52,61.88,1816275,1.24,4.371,0.99,0.259,script_rnaseq_batch_10,batch_10
RNA_B10_13,15852160,94.48,8514813,56.85,64.39,1841195,1.37,5.414,1,0.401,script_rnaseq_batch_10,batch_10
RNA_B10_14,19787887,98.4,9887103,50.78,62.43,1919607,0.98,3.088,0.47,0.116,script_rnaseq_batch_10,batch_10
RNA_B10_15,20272024,99.35,12160538,60.38,66.03,2363178,1.82,1.761,1.35,0.056,script_rnaseq_batch_10,batch_10
RNA_B10_16,19360118,99.83,11591729,59.98,67.27,2016069,2.13,0.753,1.43,0.029,script_rnaseq_batch_10,batch_10
RNA_B10_17,22147123,99.45,14120593,64.11,57.67,3380132,1.35,2.77,0.65,0.084,script_rnaseq_batch_10,batch_10
RNA_B10_18,18411849,98.57,9726989,53.59,60.69,2248626,1.14,3.613,0.48,0.126,script_rnaseq_batch_10,batch_10
RNA_B10_19,18507472,98.02,12629000,69.62,52.66,1956581,0.8,3.205,0.3,0.172,script_rnaseq_batch_10,batch_10
RNA_B10_20,21999723,99.5,15179536,69.34,54.69,2349545,0.91,2.119,0.42,0.064,script_rnaseq_batch_10,batch_10
RNA_B10_21,15156712,92.79,8012845,56.97,53.38,1884351,2.97,7.366,0.52,0.63,script_rnaseq_batch_10,batch_10
RNA_B10_22,17439521,98.11,10011311,58.51,56.48,2845016,2.68,4.272,1.83,0.133,script_rnaseq_batch_10,batch_10
RNA_B10_23,15971338,94.4,8529909,56.58,58.2,1603557,2.26,6.117,0.4,0.389,script_rnaseq_batch_10,batch_10
RNA_B10_24,17283941,99.96,12901650,74.68,54.3,589156,0.74,0.138,0.56,0.007,script_rnaseq_batch_10,batch_10
