Sample,Input_Size,Percent_PostTrim,Num_Uniquely_Aligned,Percent_Uniquely_Aligned,Percent_Exonic,Num_Uniquely_Aligned_rRNA,Percent_Overrepresented_Seq_Untrimmed,Percent_Adapter_Content_Untrimmed,Percent_Overrepresented_Seq_Trimmed,Percent_Adapter_Content_Trimmed,Project,Batch
RNA_B09_01,19606700,99.82,10441922,53.35,59.23,1726189,0.92,0.695,0.57,0.031,script_rnaseq_batch_09,batch_09
RNA_B09_02,20116443,99.75,4891744,24.38,57.88,1084331,0.33,1.267,0.2,0.045,script_rnaseq_batch_09,batch_09
RNA_B09_03,19827104,99.66,7784619,39.4,57.06,1332638,0.55,1.231,0.38,0.056,script_rnaseq_batch_09,batch_09
RNA_B09_04,18562098,99.7,10098559,54.57,56.51,2555207,2.72,1.333,1.92,0.054,script_rnaseq_batch_09,batch_09
RNA_B09_05,17996923,99.69,10175507,56.72,60.66,2640470,2.54,1.115,1.85,0.053,script_rnaseq_batch_09,batch_09
RNA_B09_06,18738791,99.73,10257025,54.88,50.49,3039037,4.08,1.032,2.95,0.044,script_rnaseq_batch_09,batch_09
RNA_B09_07,20209578,99.84,6314683,31.3,59.86,982613,0.16,0.876,0.15,0.033,script_rnaseq_batch_09,batch_09
RNA_B09_08,22238416,99.78,8633947,38.91,60.01,1921426,0.74,1.21,0.54,0.048,script_rnaseq_batch_09,batch_09
RNA_B09_09,19597980,99.83,9519849,48.66,57.09,1611219,1.58,0.606,1.07,0.021,script_rnaseq_batch_09,batch_09
RNA_B09_10,22619659,99.91,10153638,44.93,58.86,2130557,1.88,0.447,1.19,0.017,script_rnaseq_batch_09,batch_09
RNA_B09_11,20617942,99.84,4174182,20.28,58.58,548412,0,0.371,0,0.019,script_rnaseq_batch_09,batch_09
RNA_B09_12,20562695,99.9,10606065,51.63,63.75,1526883,1.17,0.376,0.69,0.016,script_rnaseq_batch_09,batch_09
RNA_B09_13,20775347,99.88,9609501,46.31,61.58,1573800,1.35,0.523,1.02,0.018,script_rnaseq_batch_09,batch_09
RNA_B09_14,21658340,99.89,13848471,64.01,61.7,1636961,1.69,0.322,1.28,0.014,script_rnaseq_batch_09,batch_09
RNA_B09_15,24636881,99.91,14971834,60.82,70.86,2045942,2.11,0.281,1.45,0.012,script_rnaseq_batch_09,batch_09
RNA_B09_16,21180992,99.69,9369095,44.37,63.71,2562997,3.1,0.867,2.01,0.038,script_rnaseq_batch_09,batch_09
RNA_B09_17,21550842,99.78,11878604,55.24,57.22,2264764,1.91,0.914,1.25,0.04,script_rnaseq_batch_09,batch_09
RNA_B09_18,20069290,99.75,11046747,55.18,60.05,2198298,2.37,0.996,1.82,0.038,script_rnaseq_batch_09,batch_09
RNA_B09_19,19309388,99.62,11202240,58.24,57.89,2857300,3.21,1.035,2.08,0.049,script_rnaseq_batch_09,batch_09
RNA_B09_20,18554051,99.8,8475347,45.77,62.18,1753055,1.55,0.726,0.83,0.032,script_rnaseq_batch_09,batch_09
RNA_B09_21,19700396,99.86,5363767,27.27,50.96,880421,0.15,0.854,0.14,0.035,script_rnaseq_batch_09,batch_09
RNA_B09_22,19771863,99.72,10055335,51,59.34,2199133,1.79,1.041,1.15,0.041,script_rnaseq_batch_09,batch_09
RNA_B09_23,19713496,99.72,10036452,51.06,61.91,2109477,2.14,0.977,1.52,0.036,script_rnaseq_batch_09,batch_09
RNA_B09_24,17469022,99.85,12671423,72.64,48.68,1450049,1.13,0.655,0.68,0.028,script_rnaseq_batch_09,batch_09
