Sample,Input_Size,Percent_PostTrim,Num_Uniquely_Aligned,Percent_Uniquely_Aligned,Percent_Exonic,Num_Uniquely_Aligned_rRNA,Percent_Overrepresented_Seq_Untrimmed,Percent_Adapter_Content_Untrimmed,Percent_Overrepresented_Seq_Trimmed,Percent_Adapter_Content_Trimmed,Project,Batch
RNA_B02_01,17391923,99.19,11997930,69.55,58.76,2822784,1.65,2.682,1.26,0.112,script_rnaseq_batch_02,batch_02
RNA_B02_02,15196888,97.62,8572040,57.78,47.94,2204683,0.83,7.315,0.43,0.205,script_rnaseq_batch_02,batch_02
RNA_B02_03,15393593,96.85,4794797,32.16,42.47,1759777,0.33,10.648,0.18,0.217,script_rnaseq_batch_02,batch_02
RNA_B02_04,16457028,97.6,4934456,30.72,49.27,1742416,0.31,8.607,0.17,0.186,script_rnaseq_batch_02,batch_02
RNA_B02_05,15785991,86.98,8039794,58.55,55.57,2670767,5.64,14.699,1.62,0.704,script_rnaseq_batch_02,batch_02
RNA_B02_06,15398372,96.9,6079035,40.74,43.85,2375838,0.55,10.276,0.22,0.226,script_rnaseq_batch_02,batch_02
RNA_B02_07,17304812,84.95,7344719,49.97,37.91,3581220,5.2,24.096,0.59,0.669,script_rnaseq_batch_02,batch_02
RNA_B02_08,14188374,82.12,6940542,59.57,44.29,2981716,5.64,21.413,0.61,0.946,script_rnaseq_batch_02,batch_02
RNA_B02_09,18422400,99.3,11603123,63.43,61.99,2758466,2.27,2.426,1.42,0.091,script_rnaseq_batch_02,batch_02
RNA_B02_10,18642543,95.91,9319677,52.12,53.6,3414129,1.63,9.788,0.94,0.321,script_rnaseq_batch_02,batch_02
RNA_B02_11,19351483,96.83,11386215,60.76,51.99,4112385,2,9.371,1.21,0.292,script_rnaseq_batch_02,batch_02
RNA_B02_12,21692467,98.17,14171733,66.55,60.08,3415792,1.27,5.385,0.93,0.158,script_rnaseq_batch_02,batch_02
RNA_B02_13,20645356,96.18,11305084,56.93,52.58,3848925,1.24,9.743,0.8,0.278,script_rnaseq_batch_02,batch_02
RNA_B02_14,21881539,97.2,12879780,60.56,58.32,3623205,1.16,7.41,1.01,0.18,script_rnaseq_batch_02,batch_02
RNA_B02_15,17735559,96.59,9648143,56.32,52.76,3153178,1.13,10.359,0.87,0.203,script_rnaseq_batch_02,batch_02
RNA_B02_16,20191518,95.9,12314029,63.59,54.76,3817681,2.3,9.37,1.1,0.233,script_rnaseq_batch_02,batch_02
RNA_B02_17,18734785,99.48,12625101,67.74,64.52,2805763,2.09,2.009,1.39,0.085,script_rnaseq_batch_02,batch_02
RNA_B02_18,21030942,99.39,4677703,22.38,55.04,823368,0.11,2.127,0,0.082,script_rnaseq_batch_02,batch_02
RNA_B02_19,17523733,99.67,8122402,46.51,60.18,1403824,0.58,1.829,0.41,0.06,script_rnaseq_batch_02,batch_02
RNA_B02_20,17050089,99.58,10950670,64.5,59.14,2040999,1.16,1.817,0.85,0.066,script_rnaseq_batch_02,batch_02
RNA_B02_21,20029512,99.15,13990200,70.44,61.77,2571453,1.2,2.571,1.08,0.095,script_rnaseq_batch_02,batch_02
RNA_B02_22,18791415,99.59,12105988,64.69,65.39,2093991,1.14,2.032,0.8,0.072,script_rnaseq_batch_02,batch_02
RNA_B02_23,20147430,99.52,12933967,64.5,65.78,2518242,1.58,1.77,1.09,0.063,script_rnaseq_batch_02,batch_02
RNA_B02_24,18847142,99.83,15225767,80.92,48.88,1091523,0.16,0.732,0.14,0.032,script_rnaseq_batch_02,batch_02
