Sample,Input_Size,Percent_PostTrim,Num_Uniquely_Aligned,Percent_Uniquely_Aligned,Percent_Exonic,Num_Uniquely_Aligned_rRNA,Percent_Overrepresented_Seq_Untrimmed,Percent_Adapter_Content_Untrimmed,Percent_Overrepresented_Seq_Trimmed,Percent_Adapter_Content_Trimmed,Project,Batch
RNA_B03_01,20524040,99.92,11407694,55.63,72.79,999539,1.18,0.317,0.7,0.01,script_rnaseq_batch_03,batch_03
RNA_B03_02,19672073,99.91,9827260,50,70.46,1282310,1.69,0.415,1.22,0.013,script_rnaseq_batch_03,batch_03
RNA_B03_03,25207262,99.66,17276030,68.77,71.19,1982222,2.07,0.804,1.25,0.026,script_rnaseq_batch_03,batch_03
RNA_B03_04,19634933,99.93,7095005,36.16,76.07,486298,0.17,0.231,0.17,0.008,script_rnaseq_batch_03,batch_03
RNA_B03_05,21915426,99.8,16282949,74.45,76.44,1088651,0.87,0.431,0.61,0.015,script_rnaseq_batch_03,batch_03
RNA_B03_06,21549950,99.95,11882042,55.16,70.08,960274,0.86,0.244,0.58,0.008,script_rnaseq_batch_03,batch_03
RNA_B03_07,19335413,99.88,10557758,54.67,67.26,1146767,1.62,0.456,0.99,0.013,script_rnaseq_batch_03,batch_03
RNA_B03_08,19327127,99.9,8288991,42.93,73.62,758638,0.57,0.432,0.26,0.015,script_rnaseq_batch_03,batch_03
RNA_B03_09,19809043,99.92,13451218,67.96,60.81,1302627,1.6,0.292,0.96,0.011,script_rnaseq_batch_03,batch_03
RNA_B03_10,25694657,99.71,16657479,65.01,68.95,2585316,3.18,0.835,2.13,0.029,script_rnaseq_batch_03,batch_03
RNA_B03_11,23456152,99.72,15080391,64.48,67.48,2254550,3.03,0.794,2.01,0.028,script_rnaseq_batch_03,batch_03
RNA_B03_12,17840319,99.95,12337610,69.19,67.88,838289,0.73,0.207,0.48,0.008,script_rnaseq_batch_03,batch_03
RNA_B03_13,18651593,99.93,9932834,53.29,63.75,820537,0.42,0.237,0.41,0.009,script_rnaseq_batch_03,batch_03
RNA_B03_14,18829521,99.85,9929948,52.82,71.52,921209,1.25,0.495,0.75,0.015,script_rnaseq_batch_03,batch_03
RNA_B03_15,20965819,99.92,12510465,59.72,65.81,1161284,0.66,0.379,0.52,0.014,script_rnaseq_batch_03,batch_03
RNA_B03_16,18717094,99.89,9404899,50.3,64.59,862568,0.76,0.423,0.62,0.014,script_rnaseq_batch_03,batch_03
RNA_B03_17,20675661,99.99,7206898,34.86,64.67,483481,0.24,0.067,0.23,0.003,script_rnaseq_batch_03,batch_03
RNA_B03_18,18887761,99.94,4520951,23.95,70.61,416316,0.14,0.306,0.14,0.011,script_rnaseq_batch_03,batch_03
RNA_B03_19,19414939,99.37,12624882,65.44,71.44,1416184,2.18,0.815,1.24,0.038,script_rnaseq_batch_03,batch_03
RNA_B03_20,19980473,98.11,12416942,63.34,66.58,1203329,1.03,1.892,0.77,0.106,script_rnaseq_batch_03,batch_03
RNA_B03_21,20371807,99.73,13354446,65.73,72.46,1829707,2.19,0.632,1.37,0.026,script_rnaseq_batch_03,batch_03
RNA_B03_22,24483036,99.96,3627319,14.82,59.32,222527,0,0.203,0,0.008,script_rnaseq_batch_03,batch_03
RNA_B03_23,19748786,99.95,15659702,79.33,54.98,554869,0.23,0.154,0.23,0.007,script_rnaseq_batch_03,batch_03
