Sample,Input_Size,Percent_PostTrim,Num_Uniquely_Aligned,Percent_Uniquely_Aligned,Percent_Exonic,Num_Uniquely_Aligned_rRNA,Percent_Overrepresented_Seq_Untrimmed,Percent_Adapter_Content_Untrimmed,Percent_Overrepresented_Seq_Trimmed,Percent_Adapter_Content_Trimmed,Project,Batch
RNA_B05_01,19441188,99.55,13556343,70.05,66.71,1979329,1.04,1.247,0.64,0.057,script_rnaseq_batch_05,batch_05
RNA_B05_02,19659897,99.74,10506639,53.58,64.32,1392582,0.27,1.464,0.25,0.053,script_rnaseq_batch_05,batch_05
RNA_B05_03,20021178,99.84,5279859,26.41,59.07,520259,0,1.013,0,0.031,script_rnaseq_batch_05,batch_05
RNA_B05_04,18553718,99.58,13032905,70.54,64.17,2051229,1.18,1.315,0.65,0.058,script_rnaseq_batch_05,batch_05
RNA_B05_05,17551051,99.91,1265644,7.22,51.84,198924,0,0.692,0,0.026,script_rnaseq_batch_05,batch_05
RNA_B05_06,19507742,99.68,7499002,38.56,60.29,1188286,0.26,1.485,0.23,0.052,script_rnaseq_batch_05,batch_05
RNA_B05_07,18913928,99.82,9817711,52,61.7,1582429,0.7,1.142,0.44,0.042,script_rnaseq_batch_05,batch_05
RNA_B05_08,18230670,99.61,12484887,68.75,59.98,2086728,1,1.642,0.67,0.062,script_rnaseq_batch_05,batch_05
RNA_B05_09,21108863,99.35,13127200,62.6,57.7,2413919,0.84,2.477,0.46,0.078,script_rnaseq_batch_05,batch_05
RNA_B05_10,17755383,99.63,1044627,5.91,46.86,224496,0,2.088,0,0.058,script_rnaseq_batch_05,batch_05
RNA_B05_11,20901802,99.56,7948645,38.2,67.79,1162827,0.31,1.839,0.2,0.046,script_rnaseq_batch_05,batch_05
RNA_B05_12,18688838,99.3,7109279,38.31,53.16,1299227,0.23,2.926,0.11,0.092,script_rnaseq_batch_05,batch_05
RNA_B05_13,19272410,99.4,3441612,17.96,49.78,889297,0,3.15,0,0.108,script_rnaseq_batch_05,batch_05
RNA_B05_14,19631338,99.34,1305425,6.69,42.36,457051,0,4.062,0,0.11,script_rnaseq_batch_05,batch_05
RNA_B05_15,18681433,99.59,1367563,7.35,44.99,371195,0,2.344,0,0.081,script_rnaseq_batch_05,batch_05
RNA_B05_16,19645216,99.31,9970506,51.11,60.13,1817526,0.62,2.402,0.28,0.079,script_rnaseq_batch_05,batch_05
RNA_B05_17,20415413,99.47,10545110,51.93,60.9,2021014,0.42,2.275,0.38,0.079,script_rnaseq_batch_05,batch_05
RNA_B05_18,19134411,99.88,10653892,55.75,66.5,1674282,0.79,0.756,0.43,0.03,script_rnaseq_batch_05,batch_05
RNA_B05_20,18986562,99.9,3561293,18.78,60.89,605371,0,0.709,0,0.032,script_rnaseq_batch_05,batch_05
RNA_B05_21,18958053,99.78,6625171,35.02,59.51,1110444,0.29,0.907,0.27,0.041,script_rnaseq_batch_05,batch_05
RNA_B05_22,20380415,99.24,1272857,6.29,42.69,414130,0,3.564,0,0.11,script_rnaseq_batch_05,batch_05
RNA_B05_23,19179102,99.84,11052775,57.72,66.73,2038335,1.96,0.801,1.41,0.032,script_rnaseq_batch_05,batch_05
RNA_B05_24,19513549,99.93,14217772,72.91,52.41,1145792,0.13,0.364,0.12,0.019,script_rnaseq_batch_05,batch_05
